section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC002,20,Engineering: Other,Engineering Physics: Scientific Computing,,53715,43.073051,-89.4,No,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,20,Computer Science,,,53703,48.856613,2.352222,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,19,Business: Finance,,,53726,43.04156 N,87.91006 W,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,21,Data Science,,Economics,53713,29.868336,121.543991,Yes,mushroom,dog,No,night owl,No
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC001,19,Computer Science,,,53715,40.712776,-74.005974,Yes,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,18,Computer Science,,,53706,5.93876,80.48433,No,Other,dog,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC003,19,Engineering: Mechanical,,,53704,38.7,-77,No,pepperoni,cat,Yes,no preference,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,18,Engineering: Mechanical,,,53726,41.878113,-87.629799,No,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,19,Engineering: Other,,,53703,36.169941,-115.139832,No,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,19,Engineering: Mechanical,,,53703,43.078104,-89.431698,No,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC006,18,Engineering: Biomedical,,,53051,33.6846,117.8265,No,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,22,Engineering: Mechanical,,,53719,43.073051,-89.40123,Maybe,none (just cheese),cat,Yes,night owl,Yes
"COMP SCI 220:LAB313, COMP SCI 220:LEC001",LEC001,18,Computer Science,,,53706,26.2992,87.2625,Maybe,mushroom,dog,Yes,night owl,No
COMP SCI 319:LEC001,LEC001,24,Business: Information Systems,,,53703,43.073051,-89.40123,No,macaroni/pasta,cat,No,night owl,No
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC006,19,Engineering: Mechanical,,,53703,43.04049,-87.91732,Maybe,Other,dog,No,night owl,Yes
"COMP SCI 220:LAB312, COMP SCI 220:LEC001",LEC001,,Computer Science,,,53715,34.052235,-118.243683,Maybe,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,20,Statistics,,,53703,40.7128,74.006,No,Other,dog,No,night owl,Maybe
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,23,Computer Science,,,53703,37.5,126.97,No,pepperoni,dog,No,night owl,No
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,21,Statistics,,,53703,52.370216,4.895168,Maybe,pepperoni,dog,Yes,early bird,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC002,18,Other (please provide details below).,Undecided,n/a,53706,38.56247,-121.70411,Maybe,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC001,18,Statistics,,,53706,40.712776,40.712776,Maybe,pepperoni,dog,No,night owl,Yes
