section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,19,Business: Other,,"Business, Computer Science",53706,43,-89,Maybe,pepperoni,dog,Yes,no preference,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,19,Engineering: Mechanical,,,53705,34.869709,-111.760902,No,pepperoni,cat,No,no preference,Maybe
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,21,Business: Finance,,,53703,3.15443,101.715103,Maybe,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,18,Engineering: Mechanical,,,53706,44.655991,-93.242752,Maybe,none (just cheese),dog,Yes,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Other (please provide details below).,art,,942995,36.25,138.25,Yes,macaroni/pasta,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC001,19,Data Science,,,53715,41.94288,-87.68667,Yes,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,18,Data Science,,,53703,44.2795 N,73.9799 W,Yes,pepperoni,dog,Yes,night owl,No
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,19,Mathematics/AMEP,,,53715,37.80718,23.734864,No,pineapple,cat,No,night owl,Yes
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,18,Computer Science,,,53706,35.689487,139.691711,No,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Engineering: Mechanical,,,53706,43.0826,-97.16051,No,pepperoni,dog,No,no preference,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,18,Engineering: Other,,,53715,37.441883,-122.143021,No,mushroom,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Engineering: Mechanical,,,53706,44.883 N,-87.86291 E,No,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,19,Engineering: Mechanical,,,53706,40.73598,-74.37531,No,none (just cheese),dog,Yes,early bird,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,20,Business: Actuarial,,Economics with a Math Emphasis,53703,42.28,-83.74,No,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,17,Engineering: Mechanical,,,53706,37.98381,23.727539,No,pineapple,dog,Yes,night owl,No
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,18,Computer Science,N/A,Data Science,53706,40.27385,-74.75972,Maybe,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LAB321, COMP SCI 220:LEC002",LEC001,19,Other (please provide details below).,"I am currently undeclared, but I am leaning towards majoring in economics with a minor or certificate in data science.",,53703,90.1994° W,38.6270° N,Maybe,none (just cheese),dog,No,early bird,Yes
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,21,Other (please provide details below).,"Mathematics, Data Science",Data Science,53703,30.572815,104.066803,Yes,sausage,dog,No,night owl,Maybe
"COMP SCI 220:LAB321, COMP SCI 220:LEC002",LEC002,,Computer Science,,,53717,36,139,Maybe,mushroom,dog,Yes,early bird,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,19,Science: Biology/Life,,,53715,45.289143,-87.021847,Maybe,none (just cheese),cat,No,night owl,Maybe
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,21,Mathematics/AMEP,,,53703,20.878332,-156.682495,No,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,22,Mathematics/AMEP,,,53715,44.481586,-88.005981,No,pepperoni,neither,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,18,Data Science,,,53706,0,0,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,18,Computer Science,,Data Science,53706,30.733315,76.779419,Yes,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,20,Mathematics/AMEP,,,53703,38.837702,-238.449497,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,,Computer Science,,,53593,50.116322,-122.957359,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,18,Computer Science,,,53715,43.059023,-89.296875,Yes,pepperoni,cat,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,19,Engineering: Industrial,,,53703,22.2255,-159.4835,No,pepperoni,cat,Yes,night owl,Yes
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,18,Engineering: Biomedical,,Legal Studies,53593,43.073051,-89.40123,Maybe,green pepper,cat,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,20,Engineering: Mechanical,,,53715,41.283211,-70.099228,No,sausage,dog,No,no preference,Maybe
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,18,Data Science,,,53715,25.26741,55.292679,Yes,basil/spinach,cat,Yes,early bird,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,19,Business: Other,,,53726,43.038902,-87.906471,Maybe,pepperoni,dog,No,night owl,Yes
COMP SCI 319:LEC002,LEC002,,Other (please provide details below).,,,53703,30.5723° N,104.0665° E,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Engineering: Mechanical,,,53706,30.2672,97.7431,,pepperoni,dog,No,night owl,No
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,20,Data Science,,,53703,36.731651,-119.785858,Yes,Other,dog,Yes,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,18,Computer Science,,,53706,43.038902,-87.906471,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,,Business: Finance,,,53703,33.8688° S,151.2093° E,No,green pepper,dog,Yes,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Science: Other,Science: Genetics and Genomics,Undecided,53715,43.073051,-89.40123,Maybe,mushroom,dog,No,no preference,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,19,Engineering: Mechanical,,,53715,44.90767,-93.183594,No,basil/spinach,dog,No,night owl,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Business: Finance,,,53706,-33.448891,-70.669266,Yes,macaroni/pasta,dog,No,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,17,Business: Finance,,"Economics, Data Sciene, Philosophy",53706,43.296482,5.36978,Yes,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,21,Mathematics/AMEP,,,53703,30.572815,104.066803,No,green pepper,dog,No,no preference,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,20,Engineering: Mechanical,Mechanical engineering,i do not,53703,41.99884,-87.68828,No,Other,dog,No,no preference,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,19,Business: Information Systems,,Marketing,53703,39.481655,-106.038353,No,macaroni/pasta,dog,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,19,Engineering: Mechanical,,,53703,41.883228,-87.632401,No,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,18,Engineering: Industrial,,,53706,41.878113,41.878113,No,pepperoni,dog,No,night owl,No
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,19,Engineering: Mechanical,,,53703,28.228209,112.938812,No,none (just cheese),neither,Yes,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Data Science,,Finance (maybe),89451,34.42083,-119.698189,Yes,green pepper,dog,No,early bird,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,19,Computer Science,,,53703,41.3874°,2.1686° E,Maybe,pepperoni,cat,No,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC001,20,Science: Biology/Life,,,53703,32.05196,118.77803,No,sausage,neither,No,night owl,Yes
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,19,Engineering: Mechanical,,,53706,50.075539,14.4378,No,none (just cheese),neither,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,20,Other (please provide details below).,"statistics, but going the actuarial route",,53715,43.134315,-88.220062,No,sausage,dog,No,early bird,No
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,19,Computer Science,n\a,undecided,53706,17.385044,78.486671,No,pepperoni,neither,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,18,Engineering: Mechanical,,computer science,,53707,-88.415382,No,Other,dog,No,night owl,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,19,Computer Science,,Computer Engineering,53706,45.440845,12.315515,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,18,Computer Science,,pre business,53706,55.953251,-3.188267,Maybe,Other,dog,No,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,18,Engineering: Mechanical,,,53706,33.8902,-118.39848,Maybe,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LAB312, COMP SCI 220:LEC001",LEC001,20,Business: Other,Business: Accounting,,53703,31.230391,121.473701,Maybe,pepperoni,cat,Yes,no preference,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,18,Data Science,,computer science,53706,39.512611,116.677063,Yes,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,18,Other (please provide details below).,Undecided,n/a,53706,41.256538,95.934502,Maybe,Other,dog,No,no preference,Yes
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,18,Data Science,,,53706-1212,19.075983,72.877655,Yes,pepperoni,dog,No,night owl,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,22,Other (please provide details below).,Economics,Spanish,53703,40.753685,-73.999161,No,green pepper,dog,No,night owl,Maybe
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,18,Data Science,,,53706,51.507351,-0.127758,Yes,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,,Engineering: Mechanical,,,53706,42.44817,-71.224716,No,pepperoni,cat,Yes,night owl,Maybe
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,17,Engineering: Other,Computer Engineering,Data Science,53706,42.36,-71.059,Yes,basil/spinach,neither,No,early bird,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,21,Business: Actuarial,,"Risk Management & Insurance, Data Science",53706,32.715736,-117.161087,Maybe,green pepper,dog,Yes,night owl,No
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,,Engineering: Other,Computer engineering,no,53706,35.689487,139.691711,No,Other,cat,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,18,Mathematics/AMEP,,,53715,41.385063,2.173404,Yes,pepperoni,cat,Yes,no preference,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,20,Computer Science,/,Mathematics,53705,30.274084,120.155067,Maybe,mushroom,cat,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,,Computer Science,,,53705,51.507351,-0.127758,No,basil/spinach,dog,No,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,18,Computer Science,,,53706,45.45676,15.29662,Maybe,sausage,dog,Yes,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC001,18,Engineering: Industrial,,,53706,18.92421,-99.221565,Maybe,green pepper,dog,Yes,night owl,Yes
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,18,Engineering: Other,Material Science Engineering,None,53703,38.941631,-119.977219,Maybe,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,21,Other (please provide details below).,Econ,,53705,25.03841,121.5637,No,pepperoni,cat,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,,Other (please provide details below).,civil engineering - hydropower engineering,computer science,53705,34,113,Maybe,pineapple,neither,No,night owl,Maybe
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Computer Science,,,,40.7,-74.005,Yes,pepperoni,cat,No,early bird,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,19,Engineering: Mechanical,,,53706,35.142441,-223.154297,No,green pepper,neither,Yes,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,18,Data Science,,Business: Undecided,53706,43.05891,-88.007462,Yes,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,,Engineering: Mechanical,,,53706,37.566536,126.977966,Maybe,pepperoni,dog,Yes,night owl,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC001,18,Data Science,,,53706,36.393154,25.46151,Yes,none (just cheese),dog,No,night owl,No
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,,Engineering: Mechanical,,,53715,19.8968° N,155.5828° W,Yes,pepperoni,dog,No,night owl,No
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,19,Engineering: Biomedical,,,53706,48.494904,-113.979034,No,macaroni/pasta,cat,No,night owl,Yes
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC001,18,Engineering: Mechanical,,,53706,41.88998,12.49426,No,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,17,Data Science,,,53706,-7.257472,112.75209,Yes,pineapple,dog,Yes,early bird,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC001,19,Other (please provide details below).,Economics,Data Science,53703,40.592331,-111.820152,Yes,none (just cheese),dog,Yes,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,19,Data Science,,Language,53704,38.722252,-9.139337,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,,Computer Science,data science,,53703,64.963051,-19.020836,Yes,pineapple,dog,No,no preference,Maybe
"COMP SCI 220:LAB321, COMP SCI 220:LEC002",LEC002,20,Other (please provide details below).,Economics,,53703,43.769562,11.255814,Maybe,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,20,Business: Actuarial,n/a,"Finance, Risk Management, Data Science Certificate",53715,44.834209,-87.376266,No,sausage,dog,No,no preference,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,21,Science: Other,Economics,,53703,37.751824,-122.420105,No,green pepper,cat,No,night owl,Yes
COMP SCI 319:LEC004,LEC004,22,Other (please provide details below).,Economic,,53703,56.490669,4.202646,No,mushroom,dog,No,no preference,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,18,Engineering: Mechanical,,,53706,44.9058,-93.28535,Yes,pepperoni,cat,Yes,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,19,Data Science,,,53703,41.878113,-87.629799,Yes,sausage,dog,No,night owl,Yes
"COMP SCI 220:LAB312, COMP SCI 220:LEC001",LEC001,21,Computer Science,,,53703,43.21518,-87.94241,Maybe,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC001,24,Science: Chemistry,,data science,53703,32.715736,-117.161087,No,mushroom,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,19,Engineering: Mechanical,,,53715,39.412327,-77.425461,No,pepperoni,cat,Yes,early bird,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,20,Statistics,,,53703,43.07391,-89.39356,No,pepperoni,dog,No,early bird,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,21,Business: Finance,,Risk management,53703,38.178127,-92.781052,No,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,18,Engineering: Mechanical,,,53706,35.689487,139.691711,Maybe,pepperoni,dog,No,no preference,Yes
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,18,Data Science,,,60521,41.9 N,87.6 W,Yes,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",,23,Business: Information Systems,,,53558,,,Maybe,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,18,Engineering: Mechanical,,,53706,43.739507,7.426706,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,21,Data Science,,,53703,25,121,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,20,Business: Information Systems,,"Supply Chain, Marketing",53703,43.073051,-89.40123,No,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,,Engineering: Biomedical,,,53715,41.385063,2.173404,No,pepperoni,dog,Yes,no preference,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,18,Other (please provide details below).,Communication arts,None,53715,22.543097,114.057861,Yes,mushroom,cat,Yes,early bird,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,22,Engineering: Mechanical,,,53703,47.497913,19.040236,No,pepperoni,dog,No,no preference,No
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC003,19,Computer Science,,Data Science,54706,34.05,-118.24,Yes,sausage,cat,Yes,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,18,Engineering: Biomedical,,,53706,46.818188,8.227512,Maybe,pineapple,dog,Yes,no preference,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC001,19,Engineering: Mechanical,,,53715,42.36,-71.058884,Yes,pepperoni,dog,Yes,no preference,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,21,Data Science,,,53703,N 36'40'',"E 117'00""",Yes,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,19,Engineering: Mechanical,,,53704,35.6762°N,139.6503°E,No,sausage,dog,No,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC001,20,Other (please provide details below).,Economics,,53703,44.885,-93.147,Yes,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,20,Other (please provide details below).,Health Promotion and Health Equity,,53704,48.8566° N,2.349014,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,19,Engineering: Mechanical,,,53715,43.073051,-89.40123,No,sausage,dog,Yes,no preference,Yes
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,20,Other (please provide details below).,My major is a mix between business andministration and technology applied to business,,53703,37.389091,-5.984459,Maybe,pineapple,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,23,Mathematics/AMEP,,data science,53715,24.88,102.8,Maybe,pineapple,dog,Yes,early bird,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,20,Engineering: Industrial,,,53703,N 44.3890,E 12.9908,Maybe,sausage,dog,No,early bird,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,20,Other (please provide details below).,Education,Data Science,53703,41.878113,-87.629799,Yes,basil/spinach,cat,Yes,early bird,No
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC001,19,Science: Biology/Life,Na,Data science,53703,41.38 N,2.17 E,Yes,pepperoni,dog,Yes,no preference,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,18,Other (please provide details below).,Pre-business,Data Science,53706,41.8781,87.6298,Yes,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC002,20,Business: Finance,,,534706,41.10475,-80.64916,Maybe,basil/spinach,dog,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,20,Statistics,,Data Science,53703,42.360081,-71.058884,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,18,Engineering: Mechanical,,,53706,24.5554,81.7842,No,pepperoni,dog,No,early bird,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,19,Data Science,,economics,53703,38.72 N,75.07 W,Yes,none (just cheese),dog,Yes,early bird,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,20,Engineering: Mechanical,ME,,53705,30.572815,104.066803,Maybe,mushroom,cat,Yes,no preference,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC001,20,Mathematics/AMEP,,actuarial science,53726,43.07199,-89.42629,No,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,20,Engineering: Mechanical,,,53705,48 degrees North,7.85 degrees East,No,pepperoni,dog,Yes,night owl,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,20,Computer Science,NA,NA,53703,40.7128° N,74.0060° W,Yes,pepperoni,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Business: Actuarial,,,53719,14.599512,120.984222,Yes,pineapple,cat,Yes,no preference,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,17,Computer Science,,,53715,37.38522,-122.114128,No,Other,dog,No,night owl,No
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,18,Computer Science,,,53706,37.386051,-122.083855,No,sausage,dog,Yes,no preference,Maybe
COMP SCI 319:LEC004,LEC004,23,Business: Finance,,,53703,31.230391,121.473701,Maybe,mushroom,neither,No,night owl,No
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,21,Engineering: Industrial,,,53703,37.94048,-78.63664,No,Other,dog,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,21,Mathematics/AMEP,Chemical Engineering,,53715,42.360081,-71.058884,No,mushroom,neither,Yes,early bird,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,18,Engineering: Industrial,,Data Science,53715,40.712776,-74.005974,Yes,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,22,Engineering: Mechanical,,,53726,36.97447,122.02899,Maybe,pepperoni,dog,No,no preference,Yes
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,,Mathematics/AMEP,,,53715,36.651199,117.120094,Maybe,mushroom,neither,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,18,Mathematics/AMEP,,,53706,46.482525,30.723309,Maybe,basil/spinach,dog,No,early bird,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,20,Engineering: Industrial,,,53703,42.102901,-88.368896,No,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Computer Science,,,53706,-31.959153,-244.161255,Maybe,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC001,24,Computer Science,,,53715,30.704852,104.003904,Yes,mushroom,neither,Yes,no preference,Maybe
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC001,19,Engineering: Mechanical,,,53705,40.712776,-74.005974,No,pepperoni,dog,No,early bird,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,22,Science: Biology/Life,,,53705,39.758161,39.758161,No,pepperoni,cat,No,early bird,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,20,Other (please provide details below).,Statistics,Certificate in Economic Analytics,53703,43.073051,-89.40123,Maybe,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,19,Data Science,,,53703,41,87,Yes,sausage,dog,No,no preference,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,20,Engineering: Mechanical,,,53726,49° 10' 58.2996'' N,0° 22' 14.4444'' W,No,sausage,cat,No,night owl,Maybe
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Engineering: Mechanical,,,53562,1.3521° N,103.8198° E,No,green pepper,cat,No,early bird,Maybe
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,19,Engineering: Mechanical,,,53703,44.46534,-72.684303,No,green pepper,cat,Yes,night owl,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,20,Engineering: Industrial,,,53726,43.038902,-87.906471,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,18,Business: Actuarial,,,53706,45.464203,9.189982,Maybe,pepperoni,cat,Yes,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,18,Computer Science,,Sociology,53715,30.58198,114.268066,No,sausage,cat,Yes,early bird,Maybe
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,19,Business: Finance,,,53706,41.878113,-87.629799,Yes,pepperoni,dog,No,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,18,Business: Finance,,Data Science,53706,40.416775,-3.70379,Yes,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,20,Science: Other,Environmental Science,N/A,53715,41.878113,-87.629799,No,green pepper,cat,No,early bird,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC002,22,Computer Science,,,53715,42,-71,No,mushroom,cat,No,night owl,Maybe
COMP SCI 319:LEC001,LEC001,24,Other (please provide details below).,Economics,,53703,40,-90,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,19,Business: Information Systems,,Management and Human Resources,53715,40.712776,-74.005974,No,basil/spinach,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,19,Data Science,,,53703,33.4942 N,89.4959 W,Yes,sausage,dog,No,night owl,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,20,Engineering: Mechanical,,,53715,43.02833,-87.971467,No,pepperoni,neither,Yes,night owl,Maybe
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,,Data Science,,,53706,40.416775,-3.70379,Yes,none (just cheese),dog,Yes,no preference,Yes
